name,lift,week,set,time,seconds_elapsed_Accelerometer,y_Accelerometer,y_Accelerometer_smooth_medium,y_Accelerometer_smooth_light,velocity_y
Jesse,Bench,1,1,2026-04-09 03:42:40.858050300,0.05305029296875,-0.5288707296133041,-0.0356285627100812,-0.4366408191685492,0.0
Jesse,Bench,1,1,2026-04-09 03:42:40.868064300,0.063064208984375,-0.4149392300069331,-0.0436445858636727,-0.4145235514402389,-0.0046625302303738
Jesse,Bench,1,1,2026-04-09 03:42:40.878077200,0.0730771484375,-0.3586222995012998,-0.0517497687205672,-0.3821702314448356,-0.0090519004198537
Jesse,Bench,1,1,2026-04-09 03:42:40.888090000,0.083090087890625,-0.451128149241209,-0.0369196856494356,-0.3339939080707728,-0.0130381013877135
Jesse,Bench,1,1,2026-04-09 03:42:40.898103300,0.093103271484375,-0.4554571183562279,-0.0210678250496586,-0.2787597613862332,-0.0165066655380633
Jesse,Bench,1,1,2026-04-09 03:42:40.908116200,0.1031162109375,-0.415461792576313,-0.0030845356054084,-0.2166866159475511,-0.0193878497114452
Jesse,Bench,1,1,2026-04-09 03:42:40.918129200,0.113129150390625,-0.4985749600708484,0.0152955695404925,-0.1507533637542473,-0.0216281737302762
Jesse,Bench,1,1,2026-04-09 03:42:40.928143400,0.123143310546875,-0.531058595046401,0.0346733189211951,-0.0888446968838572,-0.0232286561466602
Jesse,Bench,1,1,2026-04-09 03:42:40.938156000,0.133156005859375,-0.4529173707455396,0.0557948126811696,-0.0328351553062597,-0.0242385649023942
Jesse,Bench,1,1,2026-04-09 03:42:40.948169200,0.143169189453125,-0.511464836782217,0.078754275833419,0.0192183357959443,-0.0247074954145953
Jesse,Bench,1,1,2026-04-09 03:42:40.958182400,0.153182373046875,-0.4560235200673341,0.1002226224847758,0.0660527271002531,-0.0246813346659297
Jesse,Bench,1,1,2026-04-09 03:42:40.968195000,0.163195068359375,-0.3823620715290308,0.1188016644171306,0.1020263474384943,-0.0242406094979572
Jesse,Bench,1,1,2026-04-09 03:42:40.978209300,0.173209228515625,-0.2194499756544828,0.1349230835175514,0.1375448044780492,-0.0234418532961079
Jesse,Bench,1,1,2026-04-09 03:42:40.988222200,0.18322216796875,-0.1269990709722042,0.1470300859935143,0.1771741727932691,-0.0222669691481496
Jesse,Bench,1,1,2026-04-09 03:42:40.998235100,0.193235107421875,0.0707762484908103,0.1537796157965293,0.1353632986431121,-0.0211030066431122
Jesse,Bench,1,1,2026-04-09 03:42:41.008248300,0.203248291015625,0.3886509425401687,0.1568751979127245,0.0582759906902313,-0.0205342904209244
Jesse,Bench,1,1,2026-04-09 03:42:41.018261200,0.21326123046875,0.6049865855664014,0.154810427642862,-0.0141343705762624,-0.0207140436202677
Jesse,Bench,1,1,2026-04-09 03:42:41.028274200,0.223274169921875,0.8385568565100431,0.1496958008846369,-0.0733291829153299,-0.0215526741371261
Jesse,Bench,1,1,2026-04-09 03:42:41.038288100,0.2332880859375,1.0360451757252216,0.1427822997238487,-0.0703428372000455,-0.0226728198777309
Jesse,Bench,1,1,2026-04-09 03:42:41.048301300,0.24330126953125,1.0874199736535548,0.1358496040375086,-0.0091896894835233,-0.0234717634287509
Jesse,Bench,1,1,2026-04-09 03:42:41.058314200,0.253314208984375,1.0873556762456893,0.1292339299496391,0.0708161362645626,-0.0235639793727112
Jesse,Bench,1,1,2026-04-09 03:42:41.068327200,0.2633271484375,1.112341648942232,0.1216908493632482,0.1271495970492363,-0.0229736168061042
Jesse,Bench,1,1,2026-04-09 03:42:41.078340400,0.27334033203125,1.0964093357950448,0.1126421807061632,0.1506564254134893,-0.0219835121082611
Jesse,Bench,1,1,2026-04-09 03:42:41.088353300,0.283353271484375,0.9294196152180432,0.1008490660528179,0.1759355709090232,-0.0207491860498601
Jesse,Bench,1,1,2026-04-09 03:42:41.098367200,0.2933671875,0.9899877734273672,0.0890647128086897,0.1814333032329082,-0.0193606410727216
Jesse,Bench,1,1,2026-04-09 03:42:41.108380400,0.30338037109375,0.4618634782671928,0.0809059850047032,0.172897810648322,-0.0179874064799276
Jesse,Bench,1,1,2026-04-09 03:42:41.118393000,0.31339306640625,-1.4602110837608575,0.072188745637238,0.1640476348592042,-0.0167012775514361
Jesse,Bench,1,1,2026-04-09 03:42:41.128406300,0.32340625,-2.285804998323321,0.0604813432197387,0.1465025089139938,-0.0155472364044441
Jesse,Bench,1,1,2026-04-09 03:42:41.138419200,0.333419189453125,-2.261387180903554,0.048011370411154,0.1532078167002201,-0.0144474926166436
Jesse,Bench,1,1,2026-04-09 03:42:41.148433200,0.34343310546875,-1.935327426832914,0.0356539072210664,0.1541626916592121,-0.0133092873574374
Jesse,Bench,1,1,2026-04-09 03:42:41.158446300,0.3534462890625,-0.3408031496942043,0.0298931027277427,0.1507089622409343,-0.0121836760912625
Jesse,Bench,1,1,2026-04-09 03:42:41.168459300,0.363459228515625,1.030253732842207,0.0268887439314438,0.1414927588444948,-0.0111215239047241
Jesse,Bench,1,1,2026-04-09 03:42:41.178472200,0.37347216796875,1.4690870486557484,0.0241612707623839,0.133487731565237,-0.0101455892882177
Jesse,Bench,1,1,2026-04-09 03:42:41.188485000,0.383485107421875,0.9554191488713024,0.0228054261361209,0.1302439857906103,-0.0092259713134665
Jesse,Bench,1,1,2026-04-09 03:42:41.198498300,0.393498291015625,0.076205872324109,0.0211805159989744,0.1311459030663967,-0.0083180554954702
Jesse,Bench,1,1,2026-04-09 03:42:41.208512300,0.40351220703125,0.1759551173210144,0.0222200631574408,0.1316589262385368,-0.0074029887198796
Jesse,Bench,1,1,2026-04-09 03:42:41.218525200,0.413525146484375,-0.2449187634319067,0.0261839819052332,0.1349059687166214,-0.0064691865272475
Jesse,Bench,1,1,2026-04-09 03:42:41.228538400,0.423538330078125,-0.4328372902691364,0.031049592352271,0.1323013625570536,-0.0055321451497691
Jesse,Bench,1,1,2026-04-09 03:42:41.238551000,0.433551025390625,-0.3482534657001495,0.0432339901109139,0.1439220318180322,-0.0045500119196472
Jesse,Bench,1,1,2026-04-09 03:42:41.248564200,0.443564208984375,-0.367851900139451,0.0537477541662057,0.2222507005984783,-0.0031174911766327
Jesse,Bench,1,1,2026-04-09 03:42:41.258577400,0.453577392578125,0.5562836371958255,0.0675439047898451,0.3263967192496061,-0.0007713941603859
Jesse,Bench,1,1,2026-04-09 03:42:41.268591000,0.463591064453125,0.6288584595412016,0.081804656792283,0.4186673106193542,0.0025582430023271
Jesse,Bench,1,1,2026-04-09 03:42:41.278604300,0.473604248046875,0.7522136210530996,0.0960750962708393,0.4910206459302901,0.0067119226079632
Jesse,Bench,1,1,2026-04-09 03:42:41.288617200,0.4836171875,0.8056400908142328,0.1163380229879617,0.4951543613532781,0.0112484310428957
Jesse,Bench,1,1,2026-04-09 03:42:41.298630100,0.493630126953125,0.8872942916721105,0.1378060545882384,0.4438489578636884,0.0155487758495719
Jesse,Bench,1,1,2026-04-09 03:42:41.308643600,0.5036435546875,1.006262031880021,0.1600510015097856,0.3751710961951017,0.0192486084851754
Jesse,Bench,1,1,2026-04-09 03:42:41.318657300,0.5136572265625,1.134889580836892,0.1810214958711862,0.3243220172543526,0.0223500795458545
