name,time,ay,set,lift,week,ay_smooth_light,ay_smooth_medium,velocity_y
Tyrus,10.0,1.558,1,Bench,1,0.2197615384615384,-0.0326026315789473,0.0
Tyrus,10.01,1.794,1,Bench,1,0.1107785714285714,-0.0231435897435897,0.0018110668574054
Tyrus,10.02,-1.4327,1,Bench,1,0.0415799999999999,-0.0098125,0.0027312260225032
Tyrus,10.035,-0.7321,1,Bench,1,0.0006624999999999,-0.004790243902439,0.0032855942344356
Tyrus,10.04,0.9384,1,Bench,1,-0.0392,-0.0066547619047619,0.0032684336384131
Tyrus,10.05,-0.2639,1,Bench,1,-0.0159277777777777,-0.0245372093023255,0.0031511610574791
Tyrus,10.06,1.154,1,Bench,1,-0.0063684210526315,-0.0331386363636363,0.003198046371282
Tyrus,10.07,0.6634,1,Bench,1,-0.054895,-0.0397266666666666,0.0030500955739738
Tyrus,10.082,0.7023,1,Bench,1,-0.0936714285714285,-0.0447978260869565,0.0023487365720911
Tyrus,10.09,-1.5486,1,Bench,1,-0.1402045454545454,-0.0400829787234042,0.0015399257223512
Tyrus,10.1,0.9517,1,Bench,1,-0.1178652173913043,-0.0272770833333333,0.0004079432160769
Tyrus,10.11,-1.4333,1,Bench,1,-0.0972333333333333,-0.0174836734693877,-0.0005091832295912
Tyrus,10.12,0.5057,1,Bench,1,-0.064112,-0.016692,-0.0011575435883029
Tyrus,10.132,-1.306,1,Bench,1,-0.0847759999999999,-0.0288117647058823,-0.001860832018757
Tyrus,10.14,-0.9272,1,Bench,1,-0.174324,-0.0514865384615384,-0.0027705389723932
Tyrus,10.15,-0.6131,1,Bench,1,-0.156604,-0.0558415094339622,-0.0042668126644382
Tyrus,10.16,-0.677,1,Bench,1,-0.152112,-0.044587037037037,-0.0056520263564832
Tyrus,10.17,0.3797,1,Bench,1,-0.207748,-0.0296181818181818,-0.0072929600485283
Tyrus,10.182,0.1657,1,Bench,1,-0.16912,-0.0173839285714285,-0.0093641284789824
Tyrus,10.19,-0.9769,1,Bench,1,-0.1582759999999999,-0.0190947368421052,-0.0105470194326183
Tyrus,10.2,-0.8692,1,Bench,1,-0.14308,-0.0140793103448275,-0.0118954331246634
Tyrus,10.21,-1.1174,1,Bench,1,-0.164968,-0.0269949152542372,-0.0132773068167087
Tyrus,10.22,0.3736,1,Bench,1,-0.12652,-0.027575,-0.0145763805087537
Tyrus,10.232,0.3773,1,Bench,1,-0.199516,-0.0280311475409836,-0.0163425569392076
Tyrus,10.24,0.7308,1,Bench,1,-0.15916,-0.0300241935483871,-0.0176505678928438
Tyrus,10.25,1.0414,1,Bench,1,-0.1638319999999999,-0.0234396825396825,-0.0191071615848888
Tyrus,10.26,-0.4447,1,Bench,1,-0.09814,-0.014740625,-0.0202586552769338
Tyrus,10.27,-0.9897,1,Bench,1,-0.040648,-0.0141153846153846,-0.0207942289689789
