name,lift,week,set,time,seconds_elapsed_Accelerometer,y_Accelerometer,y_Accelerometer_smooth_medium,y_Accelerometer_smooth_light,velocity_y
John,bench,2,1,2026-04-04 22:19:18.543261200+00:00,11.00526123046875,0.0431728363037109,0.1354353968302409,-0.0632957649230955,0.0
John,bench,2,1,2026-04-04 22:19:18.553261300+00:00,11.01526123046875,0.0828099250793457,0.155576057434082,-0.0628387641906736,0.0015110667155684
John,bench,2,1,2026-04-04 22:19:18.563261200+00:00,11.02526123046875,0.0085186958312988,0.1815822219848633,-0.0509972763061521,0.0030836258742216
John,bench,2,1,2026-04-04 22:19:18.573261300+00:00,11.03526123046875,0.0831403732299804,0.195994135538737,-0.0447616004943845,0.0047465708513562
John,bench,2,1,2026-04-04 22:19:18.583261200+00:00,11.04526123046875,-0.0523328781127929,0.2090079561869303,-0.0388996696472166,0.0064700038617855
John,bench,2,1,2026-04-04 22:19:18.593261300+00:00,11.05526123046875,0.1148328781127929,0.2228594017028808,-0.0269954681396482,0.0082822675339884
John,bench,2,1,2026-04-04 22:19:18.603261200+00:00,11.06526123046875,-0.0143733024597167,0.2374273745218912,-0.0282869720458982,0.010147594694198
John,bench,2,1,2026-04-04 22:19:18.613261300+00:00,11.07526123046875,0.0234756469726562,0.2503158378601074,-0.0369298744201658,0.0119632498230049
John,bench,2,1,2026-04-04 22:19:18.623261200+00:00,11.08526123046875,0.085662841796875,0.2603985977172851,-0.0539932632446287,0.0136503734958186
John,bench,2,1,2026-04-04 22:19:18.633261300+00:00,11.09526123046875,-0.0694503784179687,0.271939697265625,-0.0582184219360349,0.0152310544310525
John,bench,2,1,2026-04-04 22:19:18.643261200+00:00,11.10526123046875,-0.0880475044250488,0.2846858978271484,-0.0501355934143064,0.0168310237154381
John,bench,2,1,2026-04-04 22:19:18.653261300+00:00,11.11526123046875,-0.0470719337463378,0.296015822092692,-0.0355885314941404,0.0185441424520332
John,bench,2,1,2026-04-04 22:19:18.663261200+00:00,11.12526123046875,-0.0532231330871582,0.3038554763793945,-0.0302257347106931,0.0203568104821463
John,bench,2,1,2026-04-04 22:19:18.673261300+00:00,11.13526123046875,-0.0686407089233398,0.3087313715616862,-0.0274396133422849,0.0222102231030187
John,bench,2,1,2026-04-04 22:19:18.683261200+00:00,11.14526123046875,-0.0739598274230957,0.3163686498006184,-0.0233896446228025,0.0240978161743305
John,bench,2,1,2026-04-04 22:19:18.693261300+00:00,11.15526123046875,-0.1319127082824707,0.3263908513387044,-0.0211710548400877,0.0260167520381534
John,bench,2,1,2026-04-04 22:19:18.703261200+00:00,11.16526123046875,-0.0790433883666992,0.3355947113037109,-0.0181280708312986,0.0279619957709341
John,bench,2,1,2026-04-04 22:19:18.713261300+00:00,11.17526123046875,0.0210261344909667,0.3420444361368815,0.003143882751465,0.0300288141916722
John,bench,2,1,2026-04-04 22:19:18.723261200+00:00,11.18526123046875,-0.1184768676757812,0.3535573577880859,0.0170956993103029,0.0322717514631183
John,bench,2,1,2026-04-04 22:19:18.733261300+00:00,11.19526123046875,-0.0609173774719238,0.3659838358561197,0.0424365043640138,0.0347111518426272
John,bench,2,1,2026-04-04 22:19:18.743261200+00:00,11.20526123046875,-0.2127184867858886,0.3693565686543782,0.0648602104187013,0.037389374777678
John,bench,2,1,2026-04-04 22:19:18.753261300+00:00,11.21526123046875,-0.1171121597290039,0.3835533714294433,0.1029445838928224,0.0403701381103729
John,bench,2,1,2026-04-04 22:19:18.763261200+00:00,11.22526123046875,-0.0564479827880859,0.3887859344482421,0.1446736717224123,0.0437499687495863
John,bench,2,1,2026-04-04 22:19:18.773261300+00:00,11.23526123046875,0.0146708488464355,0.4013345654805501,0.2075832748413087,0.0476529928435422
John,bench,2,1,2026-04-04 22:19:18.783261200+00:00,11.24526123046875,0.010775089263916,0.4053487332661946,0.2777235603332521,0.0522212663805522
John,bench,2,1,2026-04-04 22:19:18.793261300+00:00,11.25526123046875,0.112825870513916,0.4101517613728841,0.3417400550842287,0.0574603238187777
