time,seconds_elapsed,z,y,x
1775714561855355100,0.059355224609375,-0.379638671875,-1.065643310546875,0.0784454345703125
1775714561865371100,0.06937109375,-0.3782501220703125,-1.0435791015625,0.1008453369140625
1775714561875388200,0.07938818359375,-0.35443115234375,-1.04443359375,0.1332855224609375
1775714561885404200,0.089404052734375,-0.349609375,-1.0327606201171875,0.12451171875
1775714561895420200,0.099420166015625,-0.3172149658203125,-0.9968719482421875,0.0723114013671875
1775714561905437200,0.109437255859375,-0.2957763671875,-0.9716033935546875,0.0400238037109375
1775714561915453200,0.119453125,-0.2959442138671875,-0.9809722900390625,0.0411529541015625
1775714561925470000,0.129469970703125,-0.301727294921875,-0.9952239990234375,0.013336181640625
1775714561935486000,0.13948583984375,-0.4048614501953125,-1.0221710205078125,0.0020599365234375
1775714561945502700,0.149502685546875,-0.4144134521484375,-1.0411529541015625,-0.01055908203125
1775714561955518700,0.159518798828125,-0.398651123046875,-1.0414581298828125,-0.0286102294921875
1775714561965534700,0.16953466796875,-0.470306396484375,-1.0310516357421875,-0.0414276123046875
1775714561975551700,0.1795517578125,-0.5556640625,-0.9898223876953125,-0.0606536865234375
1775714561985567700,0.189567626953125,-0.5695037841796875,-0.9525299072265625,-0.1348724365234375
1775714561995583700,0.199583740234375,-0.5999298095703125,-0.9801025390625,-0.2457122802734375
1775714562005600800,0.209600830078125,-0.602783203125,-1.0137176513671875,-0.3453369140625
1775714562015616800,0.21961669921875,-0.5648651123046875,-1.0279388427734375,-0.405517578125
1775714562025632800,0.2296328125,-0.5513458251953125,-1.0355224609375,-0.4501190185546875
1775714562035648800,0.239648681640625,-0.4818267822265625,-0.9922332763671875,-0.49444580078125
1775714562045665800,0.249665771484375,-0.3483734130859375,-0.8730316162109375,-0.46337890625
1775714562055681800,0.259681884765625,-0.2330474853515625,-0.777801513671875,-0.350433349609375
1775714562065697800,0.26969775390625,-0.1859130859375,-0.8402252197265625,-0.235382080078125
1775714562075714800,0.27971484375,-0.1991119384765625,-0.9294586181640625,-0.19000244140625
1775714562085730800,0.289730712890625,-0.2643585205078125,-0.974456787109375,-0.217529296875
1775714562095746800,0.299746826171875,-0.3018951416015625,-0.9783935546875,-0.2529754638671875
1775714562105763600,0.309763671875,-0.25244140625,-0.9221649169921875,-0.285552978515625
1775714562115779800,0.31977978515625,-0.19427490234375,-0.8440399169921875,-0.3259124755859375
1775714562125795800,0.3297958984375,-0.07550048828125,-0.8568878173828125,-0.274688720703125
1775714562135812900,0.339812744140625,0.000732421875,-0.8847198486328125,-0.159881591796875
1775714562145828600,0.34982861328125,-0.0316009521484375,-0.923797607421875,-0.0562896728515625
1775714562155844600,0.3598447265625,-0.0688934326171875,-0.972198486328125,-0.04278564453125
1775714562165860900,0.36986083984375,-0.062713623046875,-0.9633026123046875,-0.10150146484375
1775714562175878000,0.3798779296875,-0.0330047607421875,-0.9488067626953125,-0.1282501220703125
1775714562185894000,0.389893798828125,-0.0302734375,-0.9951629638671875,-0.09930419921875
1775714562195909600,0.39990966796875,-0.097625732421875,-1.0474700927734375,-0.0742034912109375
1775714562205927000,0.409927001953125,-0.1186981201171875,-1.0728607177734375,0.02337646484375
1775714562215943000,0.41994287109375,-0.205596923828125,-1.06964111328125,0.10614013671875
1775714562225959000,0.429958984375,-0.2573394775390625,-1.060089111328125,0.0932769775390625
1775714562235975700,0.4399755859375,-0.267364501953125,-1.0432891845703125,-0.0000457763671875
1775714562245991700,0.44999169921875,-0.3008575439453125,-1.033447265625,-0.073455810546875
1775714562256007700,0.460007568359375,-0.275726318359375,-1.0663604736328125,-0.095062255859375
1775714562266024000,0.47002392578125,-0.172607421875,-1.1012115478515625,-0.1026458740234375
1775714562276040700,0.480040771484375,-0.12457275390625,-1.0869903564453125,-0.1090850830078125
1775714562286056700,0.490056640625,-0.1090545654296875,-1.0778045654296875,-0.145294189453125
1775714562296072700,0.50007275390625,-0.1036224365234375,-1.080810546875,-0.1903839111328125
1775714562306090000,0.510090087890625,-0.1111602783203125,-1.0756683349609375,-0.2181396484375
1775714562316105700,0.520105712890625,-0.09478759765625,-1.0875091552734375,-0.1882171630859375
1775714562326121700,0.530121826171875,-0.13092041015625,-1.0979461669921875,-0.14697265625
1775714562336138800,0.540138671875,-0.142913818359375,-1.11102294921875,-0.101898193359375
1775714562346154800,0.55015478515625,-0.1530609130859375,-1.1152801513671875,-0.0611114501953125
1775714562356171000,0.5601708984375,-0.1732177734375,-1.0482940673828125,-0.0341644287109375
1775714562366186800,0.570186767578125,-0.2014007568359375,-0.9671173095703125,0.043365478515625
1775714562376203800,0.580203857421875,-0.24176025390625,-0.9419403076171875,0.1668243408203125
1775714562386219800,0.5902197265625,-0.266387939453125,-0.945648193359375,0.3110198974609375
1775714562396235800,0.60023583984375,-0.233673095703125,-0.97149658203125,0.4369049072265625
1775714562406252800,0.610252685546875,-0.1863555908203125,-0.97607421875,0.50396728515625
1775714562416268800,0.620268798828125,-0.1567840576171875,-0.9428558349609375,0.52734375
1775714562426284800,0.630284912109375,-0.1361541748046875,-0.8980712890625,0.53167724609375
1775714562436301800,0.6403017578125,-0.142791748046875,-0.849151611328125,0.49359130859375
1775714562446317600,0.650317626953125,-0.1115875244140625,-0.8164825439453125,0.4515533447265625
1775714562456333800,0.660333740234375,-0.0754547119140625,-0.7953338623046875,0.4187164306640625
1775714562466349800,0.670349853515625,-0.070526123046875,-0.762115478515625,0.386993408203125
1775714562476366800,0.680366943359375,-0.0998992919921875,-0.7414093017578125,0.402252197265625
1775714562486382800,0.6903828125,-0.0846405029296875,-0.7249603271484375,0.411285400390625
1775714562496398600,0.700398681640625,-0.0598602294921875,-0.724945068359375,0.4050140380859375
1775714562506415900,0.710415771484375,-0.0339813232421875,-0.738372802734375,0.4208831787109375
1775714562516432000,0.720431884765625,0.013763427734375,-0.7268829345703125,0.4146270751953125
1775714562526447900,0.73044775390625,0.0445556640625,-0.7106170654296875,0.35858154296875
1775714562536464600,0.740464599609375,0.0995941162109375,-0.695556640625,0.2837982177734375
1775714562546481000,0.75048095703125,0.1474456787109375,-0.683258056640625,0.2158660888671875
1775714562556497000,0.760496826171875,0.1795196533203125,-0.66729736328125,0.178802490234375
1775714562566513000,0.770512939453125,0.2263031005859375,-0.64276123046875,0.1922149658203125
1775714562576529700,0.78052978515625,0.227508544921875,-0.610076904296875,0.2173614501953125
1775714562586545700,0.790545654296875,0.2225189208984375,-0.572509765625,0.2216033935546875
1775714562596561700,0.800561767578125,0.2275238037109375,-0.5703125,0.21881103515625
1775714562606579000,0.810578857421875,0.197967529296875,-0.5681915283203125,0.214691162109375
1775714562616594700,0.8205947265625,0.2049560546875,-0.5573577880859375,0.21746826171875
1775714562626610700,0.830610595703125,0.2327880859375,-0.583587646484375,0.2397613525390625
1775714562636627700,0.840627685546875,0.251953125,-0.624420166015625,0.2630767822265625
1775714562646644000,0.85064404296875,0.30535888671875,-0.64849853515625,0.233001708984375
1775714562656660000,0.860659912109375,0.3355560302734375,-0.6839599609375,0.17645263671875
1775714562666675700,0.87067578125,0.3462371826171875,-0.73388671875,0.1759490966796875
1775714562676692700,0.880692626953125,0.3114776611328125,-0.788116455078125,0.2546234130859375
1775714562686708700,0.890708740234375,0.2480010986328125,-0.842071533203125,0.363861083984375
1775714562696725000,0.90072509765625,0.2048797607421875,-0.89251708984375,0.42437744140625
1775714562706741800,0.91074169921875,0.16131591796875,-0.9279327392578125,0.4326934814453125
1775714562716757800,0.9207578125,0.1117095947265625,-0.97882080078125,0.4505157470703125
1775714562726773800,0.930773681640625,0.0580902099609375,-1.0243682861328125,0.44793701171875
1775714562736790800,0.940790771484375,0.041900634765625,-1.069000244140625,0.4545440673828125
1775714562746806800,0.950806884765625,0.0524749755859375,-1.117218017578125,0.4803619384765625
1775714562756822800,0.96082275390625,0.1037445068359375,-1.157501220703125,0.4908599853515625
1775714562766838800,0.9708388671875,0.1595916748046875,-1.2019805908203125,0.4973297119140625
1775714562776855800,0.980855712890625,0.1888275146484375,-1.21490478515625,0.5021514892578125
1775714562786871600,0.99087158203125,0.2252655029296875,-1.1927642822265625,0.4958038330078125
1775714562796887800,1.0008876953125,0.2177581787109375,-1.1413421630859375,0.4819183349609375
1775714562806904800,1.01090478515625,0.1670379638671875,-1.0998992919921875,0.4955291748046875
1775714562816920800,1.0209208984375,0.097320556640625,-1.0770111083984375,0.5133819580078125
1775714562826936800,1.030936767578125,0.014923095703125,-1.0271148681640625,0.5050506591796875
1775714562836953900,1.040953857421875,-0.06494140625,-0.9774169921875,0.4832916259765625
1775714562846969900,1.050969970703125,-0.1404571533203125,-0.948944091796875,0.4856414794921875
1775714562856985900,1.06098583984375,-0.193817138671875,-0.9266815185546875,0.48565673828125
1775714562867001900,1.071001953125,-0.2157745361328125,-0.9034881591796875,0.44677734375
1775714562877018600,1.0810185546875,-0.2296905517578125,-0.8795013427734375,0.3663482666015625
1775714562887035000,1.091034912109375,-0.23822021484375,-0.8645172119140625,0.294769287109375
1775714562897051000,1.10105078125,-0.2581939697265625,-0.8701019287109375,0.2699432373046875
1775714562907067600,1.111067626953125,-0.2758941650390625,-0.87432861328125,0.2680816650390625
1775714562917083600,1.121083740234375,-0.273651123046875,-0.8867034912109375,0.27642822265625
1775714562927100000,1.131099853515625,-0.2566680908203125,-0.904632568359375,0.275848388671875
1775714562937117200,1.1411171875,-0.217071533203125,-0.9158935546875,0.2607879638671875
1775714562947133200,1.15113330078125,-0.1704254150390625,-0.93890380859375,0.261016845703125
1775714562957149000,1.16114892578125,-0.1317901611328125,-0.9547882080078125,0.2729644775390625
1775714562967165000,1.1711650390625,-0.1081085205078125,-0.9649200439453125,0.283447265625
1775714562977182000,1.181181884765625,-0.076141357421875,-0.981048583984375,0.2952423095703125
1775714562987198200,1.1911982421875,-0.035430908203125,-0.9714508056640625,0.2896575927734375
1775714562997214000,1.2012138671875,-0.0300140380859375,-0.94976806640625,0.2944183349609375
1775714563007231000,1.21123095703125,-0.041290283203125,-0.939300537109375,0.3106689453125
1775714563017247000,1.2212470703125,-0.062408447265625,-0.94439697265625,0.3155059814453125
1775714563027263000,1.231262939453125,-0.0720672607421875,-0.94732666015625,0.30999755859375
1775714563037280000,1.241280029296875,-0.0554656982421875,-0.945648193359375,0.3149566650390625
1775714563047296000,1.2512958984375,-0.018157958984375,-0.944122314453125,0.33526611328125
1775714563057312000,1.26131201171875,0.0067291259765625,-0.922119140625,0.35174560546875
1775714563067328000,1.271327880859375,0.04150390625,-0.916107177734375,0.373748779296875
1775714563077345000,1.281344970703125,0.0616302490234375,-0.92431640625,0.38818359375
1775714563087361000,1.291361083984375,0.0599517822265625,-0.927001953125,0.3904876708984375
1775714563097377000,1.301376953125,0.0428924560546875,-0.9512481689453125,0.40264892578125
1775714563107394000,1.31139404296875,0.0400543212890625,-0.9732666015625,0.4010009765625
1775714563117410000,1.32141015625,0.0433349609375,-0.9649810791015625,0.380645751953125
1775714563127425800,1.33142578125,0.045806884765625,-0.955322265625,0.3674163818359375
1775714563137443000,1.341443115234375,0.0618133544921875,-0.9580841064453125,0.3554229736328125
1775714563147459000,1.351458984375,0.057037353515625,-0.943023681640625,0.340301513671875
1775714563157475000,1.36147509765625,0.0326995849609375,-0.936798095703125,0.3224945068359375
1775714563167491000,1.371490966796875,0.01568603515625,-0.94573974609375,0.282135009765625
1775714563177508000,1.381508056640625,0.014495849609375,-0.939849853515625,0.2459259033203125
1775714563187524000,1.391524169921875,0.0208282470703125,-0.944091796875,0.2336578369140625
1775714563197540000,1.4015400390625,0.04693603515625,-0.9582672119140625,0.244476318359375
1775714563207556900,1.411556884765625,0.0591278076171875,-0.9593963623046875,0.2572784423828125
1775714563217572900,1.42157275390625,0.0641021728515625,-0.9610443115234375,0.2720794677734375
1775714563227589000,1.431589111328125,0.052886962890625,-0.967193603515625,0.289154052734375
1775714563237605000,1.441605224609375,0.0398101806640625,-0.963623046875,0.293182373046875
1775714563247622000,1.451621826171875,0.0337066650390625,-0.9502105712890625,0.29400634765625
1775714563257638000,1.461637939453125,0.024505615234375,-0.9551239013671875,0.302764892578125
1775714563267654000,1.47165380859375,0.0184173583984375,-0.942779541015625,0.2716522216796875
1775714563277671200,1.481671142578125,0.010223388671875,-0.9271392822265625,0.2246856689453125
1775714563287687200,1.491687255859375,0.010711669921875,-0.9266357421875,0.2106781005859375
1775714563297703000,1.501702880859375,0.0152740478515625,-0.923980712890625,0.2166900634765625
1775714563307720000,1.511719970703125,0.0369415283203125,-0.924835205078125,0.2322998046875
1775714563317736000,1.52173583984375,0.057220458984375,-0.9300079345703125,0.250457763671875
1775714563327752200,1.531752197265625,0.06781005859375,-0.93096923828125,0.263336181640625
1775714563337768200,1.541768310546875,0.0828094482421875,-0.942413330078125,0.2775726318359375
