time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:15:05.869Z,0.0317,-0.3643,-0.9378,-0.0019,-0.0094,0.0033,0.0041,-0.0036,-0.0032,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.873Z,0.0315,-0.3747,-0.9292,-0.0019,-0.0094,0.0033,0.0023,0.001,-0.0058,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.883Z,0.0319,-0.3687,-0.9346,0.0006,-0.0038,0.0097,0.004,-0.0028,-0.0063,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.894Z,-0.0659,-0.6037,0.792,0.004,-0.0152,0.0036,0.0021,-0.0014,-0.0019,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.905Z,-0.0665,-0.603,0.7938,0.0067,-0.0043,0,0.0047,-0.0007,-0.004,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.913Z,-0.0669,-0.6028,0.7944,0.0067,-0.0043,0,0.003,-0.002,-0.003,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.924Z,-0.0663,-0.6041,0.7938,0.0002,-0.0067,0.006,0.0049,-0.0022,-0.0056,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.932Z,-0.0672,-0.6024,0.7941,0.0012,-0.0044,0.0051,0.0047,-0.0013,-0.0025,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.943Z,-0.0662,-0.6039,0.7941,-0.0004,0.009,-0.0043,0.0027,-0.0022,-0.0044,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.955Z,-0.067,-0.6024,0.7939,-0.0073,-0.0009,0.0021,0.0033,-0.0023,-0.0049,-18.34,37.14,-175.2,135,8,7,2,Bench,1
2026-03-27T04:15:05.963Z,-0.0676,-0.6036,0.7936,-0.0073,-0.0009,0.0021,0.0046,-0.0024,-0.0049,-18.34,37.14,-175.2,135,8,7,2,Bench,1
