time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,dB,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T04:28:53.677Z,-0.1336,-0.9179,0.3785,-0.0025,0.0268,0.0152,-0.0011,0.0033,-0.0101,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.688Z,-0.1278,-0.9118,0.3633,0.0262,0.0127,-0.0759,0.0076,-0.0005,-0.006,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.700Z,-0.1293,-0.9202,0.3741,-0.0549,0.0392,0.1038,0.008,-0.003,-0.004,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.708Z,-0.1293,-0.9202,0.3741,-0.0549,0.0392,0.1038,0.0026,0.002,-0.0072,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.721Z,-0.1269,-0.9184,0.38,-0.0232,0.0253,-0.0823,0.0009,-0.0015,0,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.726Z,-0.1269,-0.9184,0.38,-0.0232,0.0253,-0.0823,0.0009,-0.0015,0,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.738Z,-0.1223,-0.9174,0.3758,-0.0921,0.0385,0.032,0.0003,-0.0019,-0.0047,-29.71,66.33,-160.71,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.750Z,-0.132,-0.9199,0.3936,-0.0136,0.0362,-0.1503,0,-0.0042,-0.0042,-29.7,66.33,-160.72,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.758Z,-0.132,-0.9199,0.3936,-0.0136,0.0362,-0.1503,-0.0008,-0.0015,-0.0041,-29.7,66.33,-160.72,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.771Z,-0.127,-0.9146,0.3794,-0.062,-0.0053,0.0122,0.0002,-0.0056,-0.0046,-29.7,66.33,-160.72,54.89,95,8,6,4,Bench,1
2026-03-27T04:28:53.776Z,-0.127,-0.9146,0.3794,-0.062,-0.0053,0.0122,0.0002,-0.0056,-0.0046,-29.7,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.788Z,-0.1341,-0.9184,0.3888,-0.0082,0.0022,-0.0612,0.0004,0.0003,-0.0032,-29.7,66.33,-160.72,58.43,95,8,6,4,Bench,1
2026-03-27T04:28:53.800Z,-0.1337,-0.9144,0.3719,0.0157,-0.0017,0.0421,0.0048,-0.0027,-0.0028,-29.7,66.33,-160.72,58.43,95,8,6,4,Bench,1
