time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,yaw,pitch,roll,Weight,Reps,RPE,Set,Lift,Order
2026-03-27T23:01:20.954Z,-0.057,-0.7204,-0.6986,-0.0024,0.0863,0.0034,0.0023,-0.0021,-0.0004,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.964Z,-0.0562,-0.721,-0.7008,-0.0067,0.0641,0.0127,0.0016,-0.0008,-0.0032,-168.79,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.975Z,-0.0567,-0.7178,-0.6984,-0.0003,0.0517,0.0022,0.0024,-0.0019,-0.0068,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.985Z,-0.056,-0.7186,-0.7022,-0.0078,0.0657,0.0287,0.0012,-0.0013,-0.0012,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:20.997Z,-0.0553,-0.721,-0.6991,-0.0063,0.0808,-0.1138,0.0012,-0.0016,-0.0016,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.004Z,-0.0574,-0.722,-0.6799,0.0086,0.116,-0.1463,0.0012,-0.0016,-0.0016,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.014Z,-0.0581,-0.7274,-0.6923,-0.0122,0.1624,0.1058,-0.004,0.0004,0.0011,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.025Z,-0.0556,-0.7184,-0.725,-0.003,-0.0454,0.2028,0.0074,-0.0005,-0.0026,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.035Z,-0.0558,-0.7108,-0.702,-0.0171,0.0053,-0.0516,0.002,-0.0015,-0.0023,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.047Z,-0.0558,-0.7124,-0.6978,-0.0033,0.0805,0.0263,0.0006,-0.0018,-0.004,-168.78,45.46,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.054Z,-0.0562,-0.7321,-0.7032,0.0012,0.1778,-0.0034,0.0006,-0.0018,-0.004,-168.78,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.064Z,-0.0569,-0.724,-0.6932,-0.0037,0.0785,-0.0796,-0.003,-0.0012,-0.0018,-168.77,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.074Z,-0.0571,-0.7177,-0.6933,-0.0003,0.0551,-0.0137,-0.0001,-0.0008,-0.0028,-168.77,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.084Z,-0.0564,-0.7224,-0.7019,0.0028,0.1117,0.0363,0.0011,-0.0039,-0.0043,-168.77,45.45,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.097Z,-0.0571,-0.7201,-0.7024,-0.0015,0.0182,0.0244,0.0022,0.0004,-0.003,-168.77,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.104Z,-0.0565,-0.7114,-0.7017,-0.0109,0.0135,0.0337,0.0022,0.0004,-0.003,-168.77,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.114Z,-0.0562,-0.7181,-0.7047,0.0038,0.1075,0.0401,-0.0002,-0.0015,-0.0051,-168.77,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.124Z,-0.0575,-0.7285,-0.6986,0.0041,0.1502,-0.0603,-0.0025,0.0011,-0.0019,-168.77,45.44,-4.65,225,5,6,2,Deadlift,1
2026-03-27T23:01:21.135Z,-0.0571,-0.7222,-0.6924,-0.002,0.0624,-0.0336,-0.0012,0.0001,-0.0006,-168.76,45.43,-4.65,225,5,6,2,Deadlift,1
