time,seconds_elapsed,z,y,x
1775714901749502500,0.04950244140625,-0.198993518948555,-0.009916813112795353,0.00823902152478695
1775714901759515400,0.059515380859375,-0.21609555184841156,-0.02436339668929577,-0.025311747565865517
1775714901769529300,0.069529296875,-0.2127612680196762,-0.056780457496643066,-0.058639876544475555
1775714901779543300,0.079543212890625,-0.2098296582698822,-0.11827817559242249,-0.08012013882398605
1775714901789557200,0.08955712890625,-0.23765702545642853,-0.2156827598810196,-0.07982426136732101
1775714901799571200,0.0995712890625,-0.27774906158447266,-0.29426732659339905,-0.045761629939079285
1775714901809585400,0.10958544921875,-0.3313100337982178,-0.350840300321579,0.016281768679618835
1775714901819599400,0.119599365234375,-0.3823433816432953,-0.38348135352134705,0.07473175972700119
1775714901829613600,0.129613525390625,-0.4341250956058502,-0.39869704842567444,0.12109819799661636
1775714901839626200,0.139626220703125,-0.46745187044143677,-0.40626922249794006,0.1531091183423996
1775714901849640400,0.149640380859375,-0.45844852924346924,-0.42758968472480774,0.18026217818260193
1775714901859654400,0.159654296875,-0.4108346700668335,-0.4909822344779968,0.20092858374118805
1775714901869668400,0.16966845703125,-0.3274250030517578,-0.5427639484405518,0.2093241959810257
1775714901879682300,0.179682373046875,-0.2378101646900177,-0.5550962686538696,0.21754829585552216
1775714901889696300,0.1896962890625,-0.18522870540618896,-0.5292867422103882,0.224956676363945
1775714901899710500,0.19971044921875,-0.19135238230228424,-0.5484183430671692,0.22620144486427307
1775714901909724200,0.20972412109375,-0.2460142970085144,-0.490254670381546,0.233733132481575
1775714901919737300,0.2197373046875,-0.28770023584365845,-0.38498470187187195,0.26220470666885376
1775714901929751300,0.229751220703125,-0.29285451769828796,-0.2759104073047638,0.30494019389152527
1775714901939765200,0.23976513671875,-0.19080457091331482,-0.2592366337776184,0.36952024698257446
1775714901949779200,0.249779296875,-0.03664003685116768,-0.537510335445404,0.5121053457260132
1775714901959793400,0.25979345703125,-0.030045250430703163,-0.41613703966140747,0.40656721591949463
1775714901969807400,0.269807373046875,-0.02593599259853363,-0.31205296516418457,0.2727297842502594
1775714901979821600,0.279821533203125,-0.028676917776465416,-0.30909234285354614,0.1866428554058075
1775714901989835300,0.289835205078125,-0.03677931800484657,-0.31874921917915344,0.19202803075313568
1775714901999848400,0.299848388671875,-0.04241004213690758,-0.2637578845024109,0.17387644946575165
1775714902009862400,0.3098623046875,0.01623542793095112,-0.07830199599266052,0.14638836681842804
1775714902019876400,0.31987646484375,0.08541316539049149,0.14726747572422028,0.13727156817913055
1775714902029890300,0.329890380859375,0.06907200813293457,0.28946349024772644,0.1978672742843628
1775714902039904300,0.339904296875,-0.007751396391540766,0.22981294989585876,0.2822977304458618
1775714902049918500,0.34991845703125,-0.09244284778833389,-0.04163213074207306,0.4253009557723999
1775714902059932200,0.35993212890625,-0.13218998908996582,-0.33598920702934265,0.5930188298225403
1775714902069946400,0.3699462890625,-0.10526197403669357,-0.6176666617393494,0.6895544528961182
1775714902079960300,0.379960205078125,-0.03238590434193611,-0.8164790868759155,0.7074253559112549
1775714902089973500,0.389973388671875,0.04237888380885124,-0.9224220514297485,0.709000825881958
1775714902099987200,0.3999873046875,0.07432163506746292,-1.0203957557678223,0.6987828612327576
1775714902110001400,0.41000146484375,0.09649937599897385,-1.113714575767517,0.6523759365081787
1775714902120015400,0.420015380859375,0.1566106528043747,-1.2506438493728638,0.5835840702056885
1775714902130029300,0.430029296875,0.21919946372509003,-1.2425103187561035,0.4565827250480652
1775714902140043300,0.440043212890625,0.24695226550102234,-1.0458941459655762,0.31071099638938904
1775714902150057200,0.45005712890625,0.20933564007282257,-0.7690106630325317,0.19123201072216034
1775714902160071400,0.460071533203125,0.1599915325641632,-0.5335424542427063,0.12568815052509308
1775714902170085400,0.47008544921875,0.10259374976158142,-0.32291892170906067,0.07270029932260513
1775714902180098300,0.480098388671875,0.027706196531653404,-0.07654324173927307,-0.0007344998302869499
1775714902190112300,0.4901123046875,-0.0036125779151916504,0.10854538530111313,-0.05632239580154419
1775714902200126500,0.50012646484375,-0.020440293475985527,0.17054271697998047,-0.05591306835412979
1775714902210140200,0.51014013671875,-0.03808639943599701,0.11852611601352692,-0.007253918331116438
1775714902220154400,0.520154296875,-0.032280974090099335,0.005644037388265133,0.07880746573209763
1775714902230168300,0.530168212890625,-0.015215171501040459,-0.12845011055469513,0.17027080059051514
1775714902240182300,0.540182373046875,-0.017418405041098595,-0.2279045432806015,0.24175484478473663
1775714902250196200,0.5501962890625,-0.049975015223026276,-0.30254122614860535,0.2826996147632599
1775714902260210200,0.560210205078125,-0.09409613907337189,-0.328161358833313,0.2801123559474945
